wilaya_id,wilaya_name,commune_latin,commune_ar
1,Adrar,Adrar,
1,Adrar,Akabli,
1,Adrar,Aoulef,
1,Adrar,Bouda,
1,Adrar,Fenoughil,
1,Adrar,"In Zghmir",
1,Adrar,"Ouled Ahmed Timmi",
1,Adrar,Reggane,
1,Adrar,Sali,
1,Adrar,Sebaa,
1,Adrar,Tamantit,
1,Adrar,Tamest,
1,Adrar,Timekten,
1,Adrar,Tit,
1,Adrar,Tsabit,
1,Adrar,"Zaouiet Kounta",
2,Chlef,"Abou El Hassan",
2,Chlef,"Ain Merane",
2,Chlef,Benairia,
2,Chlef,"Beni Bouattab",
2,Chlef,"Beni Haoua",
2,Chlef,"Beni Rached",
2,Chlef,Boukadir,
2,Chlef,Bouzeghaia,
2,Chlef,Breira,
2,Chlef,Chettia,
2,Chlef,Chlef,
2,Chlef,Dahra,
2,Chlef,"El Hadjadj",
2,Chlef,"El Karimia",
2,Chlef,"El Marsa",
2,Chlef,Harchoun,
2,Chlef,Herenfa,
2,Chlef,"Labiod Medjadja",
2,Chlef,Moussadek,
2,Chlef,"Oued Fodda",
2,Chlef,"Oued Goussine",
2,Chlef,"Oued Sly",
2,Chlef,"Ouled Abbes",
2,Chlef,"Ouled Ben Abdelkader",
2,Chlef,"Ouled Fares",
2,Chlef,"Oum Drou",
2,Chlef,Sendjas,
2,Chlef,"Sidi Abderrahmane",
2,Chlef,"Sidi Akkacha",
2,Chlef,Sobha,
2,Chlef,Tadjena,
2,Chlef,Talassa,
2,Chlef,Taougrite,
2,Chlef,Tenes,
2,Chlef,Zeboudja,
3,Laghouat,Aflou,
3,Laghouat,"Ain Madhi",
3,Laghouat,"Ain Sidi Ali",
3,Laghouat,Beidha,
3,Laghouat,"Benacer Benchohra",
3,Laghouat,Brida,
3,Laghouat,"El Assafia",
3,Laghouat,"El Ghicha",
3,Laghouat,"El Haouaita",
3,Laghouat,"Gueltat Sidi Saad",
3,Laghouat,"Hadj Mechri",
3,Laghouat,"Hassi Delaa",
3,Laghouat,"Hassi R'mel",
3,Laghouat,Kheneg,
3,Laghouat,"Ksar El Hirane",
3,Laghouat,Laghouat,
3,Laghouat,"Oued M'zi",
3,Laghouat,"Oued Morra",
3,Laghouat,Sebgag,
3,Laghouat,"Sidi Bouzid",
3,Laghouat,"Sidi Makhlouf",
3,Laghouat,Tadjemout,
3,Laghouat,Tadjrouna,
3,Laghouat,Taouiala,
4,"Oum El Bouaghi","Ain Babouche",
4,"Oum El Bouaghi","Ain Beida",
4,"Oum El Bouaghi","Ain Diss",
4,"Oum El Bouaghi","Ain Fekroune",
4,"Oum El Bouaghi","Ain Kercha",
4,"Oum El Bouaghi","Ain M'lila",
4,"Oum El Bouaghi","Ain Zitoun",
4,"Oum El Bouaghi","Behir Chergui",
4,"Oum El Bouaghi",Berriche,
4,"Oum El Bouaghi","Bir Chouhada",
4,"Oum El Bouaghi",Dhala,
4,"Oum El Bouaghi","El Amiria",
4,"Oum El Bouaghi","El Belala",
4,"Oum El Bouaghi","El Djazia",
